seconds,points,two_p,two_pm,value
4511,20,15,7,23
4407,42,15,7,41
5021,19,12,4,23
4988,33,25,9,22
179,0,0,0,-1
2243,16,10,7,26
4709,34,33,16,31
3752,18,13,6,9
5683,23,6,3,16
2255,9,9,3,9
3,0,0,0,0
5043,25,13,4,22
5383,22,9,4,43
4067,32,27,13,33
4163,17,4,2,13
3191,2,2,1,7
6342,34,16,7,29
6275,47,27,15,43
3222,22,27,11,16
4738,21,14,5,2
5573,57,16,13,75
403,2,2,1,-3
1663,4,4,2,2
6241,42,13,8,15
6559,37,19,9,66
6032,49,34,20,64
874,5,3,1,8
7135,44,21,6,28
6816,43,19,14,61
1281,4,3,1,-2
3400,23,16,9,33
3003,22,7,6,22
4737,22,11,6,7
1356,8,1,1,8
6125,57,15,9,55
6169,29,9,5,46
448,2,2,0,2
4828,42,31,16,43
4208,40,15,7,36
6156,41,19,10,38
4250,9,8,4,10
360,0,0,0,-1
3715,21,19,9,30
6975,36,8,5,43
1539,8,3,1,4
3227,19,3,2,12
5819,42,25,13,59
2362,9,4,4,13
6146,38,19,11,50
5068,47,11,6,52
3285,24,11,2,17
280,0,0,0,-1
2579,22,15,10,26
4235,20,11,5,12
5846,31,7,5,41
2243,8,8,4,16
3781,17,10,5,11
4746,45,34,19,63
520,0,0,0,-4
1090,9,5,3,15
4341,20,9,3,21
5816,36,20,11,45
2444,18,10,5,19
5625,36,27,13,42
6036,34,15,11,35
3679,8,13,4,9
1032,2,1,0,-1
5323,29,20,12,53
5971,33,15,6,22
3571,17,12,7,28
4162,24,22,9,14
1947,10,7,2,8
1681,12,9,5,13
6457,41,13,7,36
5230,17,8,1,-12
4727,31,11,4,25
4692,37,16,5,43
1077,0,0,0,-6
669,3,1,0,0
6747,18,15,5,25
5589,53,28,16,57
4563,25,20,9,20
3043,32,10,6,39
832,2,1,1,1
746,5,3,1,0
5286,25,5,2,25
5373,39,21,11,43
4314,17,9,3,18
7225,70,31,20,90
2465,20,9,5,17
1119,5,1,1,1
2485,12,12,6,8
7277,30,17,10,45
2453,15,5,4,14
6841,66,44,25,80
3162,24,11,6,21
4091,26,14,10,33
3719,20,9,4,24
879,2,4,1,-1
3379,13,7,3,13
1425,1,3,0,-3
4355,25,21,10,22
6049,64,18,13,82
6831,28,22,8,38
4674,24,20,8,14
6841,58,16,12,47
2009,20,18,10,9
2570,25,12,7,21
1178,9,7,3,3
4494,15,3,0,14
5114,12,7,2,19
8202,60,46,17,53
2879,11,5,4,8
5876,29,14,7,30
3002,14,11,5,18
17,0,0,0,0
5735,46,30,19,53
7125,61,21,8,38
1919,0,0,0,-9
3637,10,6,2,4
5899,40,5,4,48
3962,19,18,9,21
5012,34,23,16,62
6035,40,16,7,30
4572,20,22,10,7
5106,35,20,9,45
5409,28,5,1,19
3498,22,9,2,17
3211,29,12,5,20
6687,44,31,14,58
109,0,0,0,1
5788,49,22,9,57
2736,27,11,7,17
7450,44,31,11,38
6793,22,13,3,25
155,0,0,0,0
93,2,0,0,2
6236,46,32,18,63
4908,45,25,17,37
5384,21,11,7,18
3013,8,7,4,12
2337,7,7,3,1
3107,13,6,2,20
278,2,2,1,4
6213,37,31,11,28
5363,41,22,12,41
5524,35,12,7,43
5136,46,23,16,56
3913,28,3,2,16
5980,28,9,5,19
6030,48,33,21,63
3482,23,11,8,29
1861,9,6,4,11
4220,31,5,3,38
4482,17,11,5,21
4560,19,7,2,16
5627,55,21,12,62
5168,39,20,13,39
428,1,1,0,2
1014,4,2,1,5
5787,31,19,10,42
4186,50,24,21,74
4273,33,18,8,31
3600,26,8,5,21
4097,20,9,4,22
4693,31,16,12,43
85,0,0,0,-1
5097,41,10,4,38
