seconds,points,assists,rebounds,value
676,2,2,0,4
160,-2,0,0,0
367,4,2,0,9
313,3,2,0,10
421,-1,1,0,0
251,1,1,0,6
243,-1,0,-1,3
454,4,0,-1,4
404,2,3,-1,15
385,1,1,-1,9
212,-1,0,-1,3
459,4,3,-1,17
392,2,2,-1,13
86,0,0,-1,0
46,-1,0,-1,0
283,-2,0,-1,3
425,5,3,-1,15
411,3,2,0,12
345,-1,1,0,6
496,4,2,0,10
362,1,1,0,7
426,0,4,0,15
456,2,1,0,7
409,3,2,0,6
198,-1,0,0,0
175,0,0,0,0
467,2,2,-1,13
346,2,2,-1,9
617,4,3,-1,17
428,4,3,-1,16
402,2,1,-1,6
239,0,1,-1,6
446,2,3,-1,15
116,0,0,-1,0
86,-2,0,-1,0
209,0,0,-1,4
324,0,0,0,2
609,3,3,0,19
242,1,0,0,2
508,1,2,0,11
99,-1,0,0,0
480,7,4,0,24
520,3,3,0,13
162,-1,0,0,0
358,0,1,0,8
303,0,0,0,2
306,2,1,0,9
212,2,2,0,10
59,0,0,0,0
354,1,1,0,6
297,2,2,0,12
368,2,0,0,3
296,1,1,0,5
301,0,1,0,8
362,3,2,0,10
287,3,3,0,15
244,2,2,0,10
358,2,1,0,8
497,0,1,0,6
288,-1,0,0,3
296,1,1,0,7
442,0,0,0,4
332,2,4,0,20
276,2,0,0,2
364,2,3,0,16
201,0,1,0,5
126,-2,0,0,0
178,-1,0,0,2
507,3,2,0,14
287,0,0,0,2
336,-1,0,0,4
207,2,2,0,12
157,0,0,0,2
428,-1,1,0,6
183,0,0,0,1
280,1,1,0,6
410,0,0,0,4
288,1,2,0,10
311,1,1,0,7
379,4,3,0,19
367,0,0,0,2
386,6,3,0,10
128,0,0,0,4
301,2,2,0,12
463,3,3,0,16
412,1,1,0,5
98,1,0,0,1
534,3,2,0,6
438,3,2,0,13
104,-1,0,0,0
432,1,1,0,8
343,0,1,0,5
91,-1,0,0,0
220,1,0,0,3
180,2,2,0,11
352,2,1,0,7
484,3,2,0,14
77,0,0,0,2
238,-1,0,0,2
418,4,3,0,17
422,1,2,0,7
458,2,1,0,7
345,1,1,0,6
273,3,3,0,19
443,3,2,0,13
374,1,0,0,2
320,4,4,0,20
463,1,0,0,3
50,-1,0,0,0
214,1,1,0,6
282,1,1,0,6
10,0,0,0,0
314,2,2,0,14
68,-2,0,0,1
425,1,2,0,6
445,3,1,0,8
30,-1,0,0,0
497,3,2,0,13
253,1,0,0,4
359,0,0,0,4
330,3,2,0,14
284,1,0,0,4
522,0,2,-1,10
106,0,0,-1,0
387,1,2,-1,10
533,3,1,-1,9
471,1,2,-1,11
194,-1,0,-1,0
458,1,2,-1,11
213,-2,0,-1,2
274,0,1,-1,6
468,3,2,0,12
398,5,2,0,10
485,3,4,0,23
249,0,1,0,9
536,6,3,0,19
15,0,0,0,0
305,-1,1,0,6
216,-2,0,0,0
172,-1,0,0,0
526,4,2,0,12
284,2,2,0,11
396,2,1,0,9
229,3,3,0,15
436,2,1,0,8
359,0,0,0,3
363,4,3,0,17
90,-1,0,0,2
295,1,1,0,8
421,0,0,0,2
193,-1,0,0,0
324,3,2,0,11
380,2,1,0,6
319,0,0,0,2
329,1,1,0,8
270,2,0,0,4
214,2,2,0,10
45,-1,0,0,0
277,1,2,0,10
289,4,4,0,21
466,1,1,0,7
533,5,4,0,19
497,6,4,0,17
294,-1,0,0,0
91,0,0,0,2
358,-2,0,0,0
360,0,0,0,2
294,0,1,0,9
283,1,1,0,9
322,0,1,0,8
267,0,0,0,3
356,3,3,0,13
221,0,0,0,4
198,0,1,0,7
422,3,3,0,17
429,4,1,0,8
410,2,2,0,10
25,-1,0,0,0
404,3,2,0,10
450,2,1,0,9
69,-1,0,0,2
248,2,1,0,7
239,1,1,0,6
289,-1,1,0,7
215,0,1,0,6
330,0,1,-1,5
430,0,2,-1,10
344,-1,1,-1,5
331,3,2,-1,10
347,0,1,-1,5
339,0,1,-1,5
16,-1,0,-1,0
141,1,0,-1,4
252,0,0,-1,0
319,1,2,-1,11
169,0,0,-1,2
370,0,0,-1,4
226,2,1,0,10
395,3,3,0,18
221,0,1,0,7
292,1,2,0,15
375,4,2,0,16
298,3,2,0,17
85,-1,0,0,3
227,0,0,0,2
312,0,0,0,5
72,-2,0,0,0
361,1,2,-1,13
240,0,0,-1,3
